module	Origin	8MPa	15MPa	30MPa	8MPaII	15MPaII	30MPaII
M00174	2.5903844390000006	5.781955134	7.374009048	6.901731604	8.529962727999997	45.480354778999995	40.470135298
M00175	41.038662075	90.82895322299998	85.533339283	114.313441735	123.08403621500001	121.966612883	103.62983226700003
M00176	682.3754647050001	816.5314951890002	816.8748269359999	877.8152698010001	843.289130953	1092.7609121350004	1093.4587032749998
M00307	2451.9821443010005	2279.4013903220007	2081.9117984649997	1992.0813099170007	1937.9982199239996	1711.6903631659998	1611.2820106050003
M00308	736.9626900429997	895.714947889	851.3902131649999	935.1580195190003	928.7258055580003	1019.1519024680005	971.775007605
M00309	2472.614398752	1393.5475805380008	1188.4566828260001	959.3318087129995	897.7849319070003	472.34644990499993	425.140797781
M00338	67.98618234899999	98.49189981600001	113.17220596999996	98.18144456899992	91.96359835699998	79.30792032699995	82.520458535
M00344	538.0780564079998	623.1593040430002	548.3691949949998	556.3810586379997	555.82423702	492.8721881070001	486.70209063100003
M00345	829.0802234569998	800.2732605310001	717.0885581679998	692.3745399789997	692.7652319289999	548.8999183760002	551.573108485
M00346	936.6544297330001	1010.624340872	967.332987989	1051.1484584510001	1048.9897260650002	1336.0080617769997	1287.5749902729997
M00356	6369.660755755001	4121.954788458998	3200.4618628510007	2457.4858675599994	2312.3057634560014	1423.1015168429997	1022.1021018640001
M00357	7445.610390684002	5240.412112899998	4347.890024167999	3528.175081121999	3368.2408679470013	2311.884245136	1906.911642932
M00358	240.181459796	92.96276387300001	68.039950807	59.53228217500001	60.400189117	51.24389450799999	55.56367444
M00364	314.29116571	383.234021366	393.970402207	389.553198659	386.09739817300004	361.96664503000005	342.79091822800007
M00365	58.067164045999995	104.67812883500005	145.02057159100002	113.81939065199998	120.75760158499997	80.82081955600002	100.014012302
M00366	284.457849594	336.016342322	334.402481155	327.15524718899997	326.37691886300007	268.15701305600004	250.57672688999997
M00367	44.736605581999996	88.73449554400005	115.816713928	95.05162722899999	101.77640630899998	67.12379330700001	85.50742330199999
M00368	302.6138424350001	313.16451053999987	308.9422003570001	320.72421439800013	322.9492464689999	302.30729068899984	296.9182468720001
M00372	9.752658237	23.953054798	18.771053311	25.957751738999995	23.568157005	30.49510288	33.187403559
M00373	1824.7794483849998	1560.8728784130005	1223.6464044939994	1189.434108923	1139.6908977379992	1304.16052288	1121.9470348280001
M00374	4806.388458476001	3777.7469738880013	3350.096533262	3145.6192063930002	2999.375429735999	2904.7641927209997	2714.6823558980004
M00375	2141.709560929	1614.2187258090007	1367.7418854699995	1250.4865313819996	1185.9693589919991	1094.1331069409996	989.0997052420003
M00376	1928.893970092	1962.4651238200001	1774.1303682060002	1822.091331801	1805.5520903340002	1881.9349171099996	1840.053528541
M00377	2721.3908423109997	1987.597632381	1628.3073545280001	1431.3880769119999	1397.4735823	1052.1898177819999	975.5693871800001
M00378	24.316940785999996	28.112927141000004	40.30509712999999	35.34550444	35.940064922999994	25.641267968	33.802159863
M00416	0.0	0.19618295300000002	0.367251117	0.337117528	0.276920794	0.13910257199999998	0.239360246
M00417	17.633204556000003	81.570228289	41.922462013	65.245058408	62.792237277	188.07558809699998	265.175145247
M00418	3.463580039	4.850743600999999	7.268298144	10.205755760999999	9.402473453999999	6.5929377890000005	6.463075009000001
M00422	350.96433049899997	336.87817174300005	311.812279315	248.62353689599996	242.081099527	162.313481154	149.516539439
M00432	1126.2166401329998	1153.0261499890003	1059.8238935929999	1152.6210329459996	1126.334735522	1239.2940046210006	1165.460406246
M00433	22.647888186999992	30.569650967	38.177449973	34.505935216	35.606433124000006	24.07999241	28.371978083000002
M00525	1926.9001041660001	2078.9813018990003	1938.2728470579996	2013.1938913579997	1970.9638402780004	1955.1161488170005	1873.1954681530008
M00526	1599.5629985879998	1708.1514941940004	1590.9484357499996	1656.0144473349997	1633.429244307	1713.172823542	1642.6817794700005
M00527	2043.588623847	2150.9169067020002	1988.7743438829996	2037.9208455859998	1995.2606580020001	2044.6043129080003	1926.1462152300005
M00528	378.10609758299984	165.44159754900002	122.25146592099999	101.61159288400002	95.761828674	58.248222065	45.183185939999994
M00529	439.44889458899996	712.1633651469999	620.7433640820001	755.6507659309999	721.5614991040001	1016.9075767710001	764.742501119
M00530	445.744141331	646.199556769	566.815726751	674.513756032	655.578220157	843.2766098089999	717.661995079
M00531	40.508027307000006	99.74560083699998	96.05741238799999	103.35579083000002	96.10196511500003	146.66817144599997	131.82258879900002
M00532	407.09633239999994	552.5487822990001	545.0843959830001	598.3607204959997	601.1075972880002	715.397988115	710.2801059980001
M00533	27.254173014000003	56.216399855999995	56.270965027	43.03122145200001	43.141082366999996	54.67020701	77.760208295
M00534	3.806570596	11.517134158	8.902977098000003	12.263270903000002	11.083523634000002	36.841536923999996	48.954341045999996
M00535	742.825181776	771.267149727	720.4958266840001	778.7457409129997	763.274200448	834.3223526440005	807.02655306
M00537	0.278148203	1.522654328	1.3224968860000001	5.582711259	4.904337014999999	13.629806805	14.422878586
M00538	16.261338173999995	28.331966429	43.838310287000006	48.362125709	48.218590242999994	34.517122586	40.514916391
M00539	11.570609379	17.62141245	15.748301543	21.557753512000005	17.937311195	16.510449119999997	12.28539382
M00540	111.197552199	35.45249543999999	16.288529976	15.828481224999999	11.070888841	21.897730201	30.473514831
M00541	616.885550006	388.00027968	290.868972027	210.88750759499996	192.42827790299998	115.31989961	71.43997887500001
M00542	0.0	0.078891186	0.741894062	27.649203298000003	24.245069446000002	345.557974534	434.493855553
M00543	1.032816771	2.26547583	1.9421220129999999	2.147035432	2.094924686	1.542402682	1.1228940109999999
M00544	0.0198448	0.086453503	0.08851725699999999	0.091768882	0.215964402	0.08956319	0.031906811
M00545	60.155169599	137.606924731	131.92767369400002	157.592813079	154.423297861	256.082837803	285.235769355
M00546	275.979206036	548.0976419069999	476.091212796	599.8728628580002	581.2524543449998	1054.096283574	1064.300530339
M00548	16.707080535	72.748056337	51.76510025699999	74.541048575	69.964393205	96.03877247	65.833694745
M00549	890.992567513	1107.089674605	1015.3545028799999	1077.512291824	1068.885380263	973.3446519520003	963.7821190580005
M00550	455.40362291300005	617.436327536	556.5757239920001	550.630156052	583.938371142	352.223550595	418.279585425
M00551	49.507149263	107.192811059	84.81047039700002	122.16910291000002	110.401352127	199.05182300500002	133.669463785
M00552	842.9770400679998	879.6393165540001	823.5927448959999	883.9248131230001	869.4853120070002	849.5577970160003	822.94321253
M00554	257.47395438700005	289.000282444	275.9960042140001	257.02859418900005	269.497364739	159.806114622	177.56908897700004
M00555	96.36131484099998	237.0794112210001	181.040433978	261.35690743199984	245.82454994200012	468.97577770899994	404.23123377100006
M00563	6974.188192483001	4668.973867103999	3736.5943994610006	2890.4652544949995	2709.915633625001	1664.7480539579994	1259.81114484
M00564	9.150095304000002	16.309335551000007	11.918846653	14.611695001	13.25207468	19.276011038	13.020386169000002
M00565	697.4946494239999	882.1863978479998	869.7782523459998	864.3486428619999	884.4394303229997	848.9098996519999	849.583550555
M00567	6963.421087713003	4814.637462716999	4066.740296781001	3211.629552594	3056.3840727160014	1958.7514612139998	1574.533972383
M00568	428.15611083100015	304.5619224740001	288.30498389600007	308.920359045	296.20256227499993	476.3249278169999	455.587299171
M00569	119.90613634699996	267.510155111	255.43419559600005	299.5856909829999	303.59881434700003	450.29425426600005	413.72493226999995
M00570	1818.4291546780005	2162.995264597	1939.0843660129997	2073.9753866280007	2028.0165674149996	2076.778949595	2017.137978602999
M00572	2857.3111701189996	2617.3374778730017	2291.3481404230006	2422.133765484999	2388.022230639001	2865.934178694	2657.1864309590005
M00573	556.6444659719999	478.322283232	437.98122288900004	474.10437415700017	463.46707392400015	560.282283385	565.672793773
M00575	821.7510101729997	699.2614892709997	619.3845327790003	618.5758708739999	577.0296358100004	502.6219595470002	437.9044766980002
M00577	680.715106698	571.183330996	512.0373582100001	562.9563932320002	546.7714804240002	706.8192905559999	707.6464396239999
M00579	431.583344404	584.4957068179999	565.0934475900001	587.41951243	577.882749983	472.12780362599995	451.095717521
M00580	79.71659359699999	135.57531896100002	165.83163644100006	150.161135332	143.134165926	223.35504642400002	207.8769754390001
M00595	122.831450224	182.608206963	197.109668744	242.978380162	226.750581879	393.85510719999996	396.0652563819999
M00596	1064.0627676049999	708.3412024350001	556.295199733	475.64688175399993	453.40026385899995	302.95765384900005	204.75054309400002
M00597	0.28847030900000004	0.633308784	0.688016524	0.7063187370000001	0.35979069799999996	3.334131578	2.7255436060000005
M00598	0.258586039	0.020991155	0.1253714	0.131976483	0.280690929	0.047569803	0.013557362
